dateTime,country,profile,age,gender,referral,pageviews,purchased,purchaseAmount
8/29/2014 3:34,Australia,Friend/family friend,25-34,Female,Unbranded Search,9,0,0
9/10/2014 9:03,United States,Friend/family friend,25-34,Female,Unbranded Search,7,0,0
8/13/2014 22:43,United States,Friend/family friend,35-44,Female,Social,3,0,0
9/5/2014 12:37,United States,Friend/family friend,35-44,Female,Unbranded Search,7,0,0
8/20/2014 18:29,United States,Friend/family friend,45-54,Female,Unbranded Search,11,0,0
8/4/2014 2:17,United States,Friend/family friend,55-64,Female,Unbranded Search,11,0,0
8/1/2014 18:31,United States,Friend/family friend,18-24,,Branded Search,12,0,0
8/2/2014 23:10,United States,Friend/family friend,55-64,,Direct,5,0,0
8/3/2014 12:22,Romania,Friend/family friend,18-24,,Social,3,0,0
8/4/2014 23:25,United States,Friend/family friend,25-34,,Social,2,0,0
8/31/2014 1:11,Australia,Friend/family friend,35-44,,Social,5,0,0
9/11/2014 2:08,United States,Friend/family friend,45-54,,Social,2,0,0
7/27/2014 0:31,United States,Friend/family friend,18-24,,Unbranded Search,2,0,0
8/3/2014 19:54,United States,Friend/family friend,25-34,,Unbranded Search,12,0,0
8/7/2014 14:39,United States,Friend/family friend,35-44,,Unbranded Search,12,0,0
8/10/2014 9:03,United States,Friend/family friend,45-54,,Unbranded Search,3,0,0
8/10/2014 10:23,United States,Friend/family friend,55-64,,Unbranded Search,4,0,0
8/22/2014 15:07,United States,Friend/family friend,18-24,,Unbranded Search,12,0,0
8/25/2014 17:35,United States,Friend/family friend,25-34,,Unbranded Search,11,0,0
9/2/2014 19:33,United States,Friend/family friend,35-44,,Unbranded Search,11,0,0
9/2/2014 22:34,United States,Friend/family friend,45-54,,Unbranded Search,10,0,0
9/8/2014 23:59,United States,Friend/family friend,55-64,,Unbranded Search,3,0,0
9/10/2014 14:51,United Arab Emirates,Friend/family friend,18-24,,Unbranded Search,3,0,0
8/12/2014 15:03,South Africa,Health Professional,18-24,Female,Unbranded Search,3,0,0
8/19/2014 20:29,United States,Health Professional,18-24,Female,Unbranded Search,11,0,0
8/29/2014 14:02,United States,Health Professional,18-24,Female,Unbranded Search,4,0,0
7/30/2014 9:41,United States,Health Professional,25-34,Female,Direct,4,0,0
8/12/2014 15:07,United States,Health Professional,25-34,Female,Direct,6,1,96.8
8/13/2014 10:00,United States,Health Professional,25-34,Female,Direct,7,0,0
9/9/2014 20:38,United States,Health Professional,25-34,Female,Direct,11,0,0
7/29/2014 13:41,United States,Health Professional,25-34,Female,Referred,10,0,0
7/28/2014 20:39,United States,Health Professional,25-34,Female,Unbranded Search,7,0,0
7/29/2014 15:14,United States,Health Professional,25-34,Female,Unbranded Search,3,0,0
8/1/2014 10:14,United States,Health Professional,25-34,Female,Unbranded Search,12,0,0
8/2/2014 21:38,United States,Health Professional,25-34,Female,Unbranded Search,5,0,0
8/6/2014 7:50,United States,Health Professional,25-34,Female,Unbranded Search,9,0,0
8/7/2014 10:08,United States,Health Professional,25-34,Female,Unbranded Search,11,0,0
8/11/2014 21:53,United States,Health Professional,25-34,Female,Unbranded Search,12,0,0
8/12/2014 15:37,United States,Health Professional,25-34,Female,Unbranded Search,4,0,0
8/13/2014 14:03,United States,Health Professional,25-34,Female,Unbranded Search,4,0,0
